task_id,n,Fc_over_F,F_over_Fc,F,Fc,J,gamma_mu,zeta,simulation_time,alpha,dt,nums,timestamp
45,1,5.400000000000004,0.18518518518518506,2.190476190476189e-12,1.1828571428571428e-11,3.170555050708665e-08,0.0014569315277163284,1.0065662862101696e-07,221.82665848731995,0.07,0.001,1000000,20251006_025105
46,1,5.5000000000000036,0.1818181818181817,2.1506493506493493e-12,1.1828571428571428e-11,3.1644901145293396e-08,0.0014810731751174861,1.0065662862101696e-07,221.16250133514404,0.07,0.001,1000000,20251006_025446
47,1,5.600000000000004,0.17857142857142844,2.1122448979591817e-12,1.1828571428571428e-11,3.164513104270439e-08,0.0015080127338011283,1.0065662862101696e-07,217.25602650642395,0.07,0.001,1000000,20251006_025823
48,1,5.700000000000005,0.17543859649122792,2.07518796992481e-12,1.1828571428571428e-11,3.1672794237013334e-08,0.00153628333100854,1.0065662862101696e-07,221.31303477287292,0.07,0.001,1000000,20251006_030205
49,1,5.800000000000004,0.17241379310344815,2.039408866995072e-12,1.1828571428571428e-11,3.1650127477138675e-08,0.0015621169343880714,1.0065662862101696e-07,221.36782598495483,0.07,0.001,1000000,20251006_030546
50,1,5.900000000000004,0.1694915254237287,2.004842615012105e-12,1.1828571428571428e-11,3.164223371547407e-08,0.0015886536648756662,1.0065662862101696e-07,217.42068099975586,0.07,0.001,1000000,20251006_030923
51,1,6.000000000000004,0.16666666666666655,1.97142857142857e-12,1.1828571428571428e-11,3.1674626340707605e-08,0.0016172338914494655,1.0065662862101696e-07,224.14954781532288,0.07,0.001,1000000,20251006_031308
52,1,6.100000000000005,0.16393442622950807,1.93911007025761e-12,1.1828571428571428e-11,3.168876268721636e-08,0.0016449215886145797,1.0065662862101696e-07,213.87892770767212,0.07,0.001,1000000,20251006_021419
53,1,6.200000000000005,0.16129032258064505,1.907834101382487e-12,1.1828571428571428e-11,3.164370984256474e-08,0.0016695105447094073,1.0065662862101696e-07,219.8405463695526,0.07,0.001,1000000,20251006_021759
54,1,6.300000000000004,0.1587301587301586,1.8775510204081617e-12,1.1828571428571428e-11,3.1629671014612136e-08,0.001695685504211036,1.0065662862101696e-07,220.19822549819946,0.07,0.001,1000000,20251006_022139
55,1,6.400000000000005,0.1562499999999999,1.848214285714284e-12,1.1828571428571428e-11,3.1653113095959395e-08,0.0017238778393965798,1.0065662862101696e-07,221.56514978408813,0.07,0.001,1000000,20251006_022521
56,1,6.500000000000005,0.15384615384615372,1.819780219780218e-12,1.1828571428571428e-11,3.162118300924134e-08,0.0017490472970976827,1.0065662862101696e-07,218.87074494361877,0.07,0.001,1000000,20251006_022900
57,1,6.600000000000005,0.1515151515151514,1.7922077922077908e-12,1.1828571428571428e-11,3.16811583435592e-08,0.0017793241406136816,1.0065662862101696e-07,214.25514101982117,0.07,0.001,1000000,20251006_023234
58,1,6.700000000000005,0.14925373134328349,1.7654584221748389e-12,1.1828571428571428e-11,3.164296355991592e-08,0.0018041059429738313,1.0065662862101696e-07,219.1808500289917,0.07,0.001,1000000,20251006_023613
59,1,6.800000000000005,0.14705882352941166,1.7394957983193263e-12,1.1828571428571428e-11,3.167766508692003e-08,0.0018330409152559081,1.0065662862101696e-07,218.99959254264832,0.07,0.001,1000000,20251006_023952
60,1,6.900000000000006,0.14492753623188395,1.714285714285713e-12,1.1828571428571428e-11,3.158356971199426e-08,0.0018544724607652884,1.0065662862101696e-07,217.93045926094055,0.07,0.001,1000000,20251006_024330
61,1,7.000000000000005,0.14285714285714274,1.6897959183673454e-12,1.1828571428571428e-11,3.162957076890993e-08,0.0018840890333102517,1.0065662862101696e-07,218.59971046447754,0.07,0.001,1000000,20251006_024709
62,1,7.100000000000005,0.1408450704225351,1.6659959758551295e-12,1.1828571428571428e-11,3.163945303471706e-08,0.0019116016605339977,1.0065662862101696e-07,224.40594053268433,0.07,0.001,1000000,20251006_025053
63,1,7.2000000000000055,0.13888888888888878,1.6428571428571414e-12,1.1828571428571428e-11,3.1581489860931345e-08,0.0019349742672705454,1.0065662862101696e-07,219.49671864509583,0.07,0.001,1000000,20251006_025433
64,1,7.300000000000006,0.1369863013698629,1.6203522504892353e-12,1.1828571428571428e-11,3.1584324412709906e-08,0.001962024992834718,1.0065662862101696e-07,217.77453708648682,0.07,0.001,1000000,20251006_025810
65,1,7.400000000000006,0.13513513513513503,1.5984555984555972e-12,1.1828571428571428e-11,3.1613469326904287e-08,0.001990737337048721,1.0065662862101696e-07,216.14153409004211,0.07,0.001,1000000,20251006_030147
66,1,7.500000000000005,0.13333333333333325,1.577142857142856e-12,1.1828571428571428e-11,3.15931031999817e-08,0.0020163393831976596,1.0065662862101696e-07,219.06569409370422,0.07,0.001,1000000,20251006_030526
67,1,7.600000000000006,0.13157894736842096,1.5563909774436078e-12,1.1828571428571428e-11,3.158675657850419e-08,0.0020428134526243483,1.0065662862101696e-07,216.60220074653625,0.07,0.001,1000000,20251006_030902
68,1,7.700000000000006,0.12987012987012977,1.5361781076066777e-12,1.1828571428571428e-11,3.161983755634064e-08,0.002071860177023414,1.0065662862101696e-07,217.52231097221375,0.07,0.001,1000000,20251006_031240
69,1,7.800000000000006,0.1282051282051281,1.5164835164835153e-12,1.1828571428571428e-11,3.1636393095488296e-08,0.0020998663263450553,1.0065662862101696e-07,216.56364178657532,0.07,0.001,1000000,20251006_021422
70,1,7.900000000000006,0.12658227848101256,1.497287522603977e-12,1.1828571428571428e-11,3.1592923302361515e-08,0.002123865389840142,1.0065662862101696e-07,219.20380330085754,0.07,0.001,1000000,20251006_021801
71,1,8.000000000000007,0.12499999999999989,1.478571428571427e-12,1.1828571428571428e-11,3.158022466693328e-08,0.0021498852775337684,1.0065662862101696e-07,218.49227237701416,0.07,0.001,1000000,20251006_022140
72,1,8.100000000000007,0.12345679012345669,1.460317460317459e-12,1.1828571428571428e-11,3.1605172602845934e-08,0.0021784784525525195,1.0065662862101696e-07,215.40399742126465,0.07,0.001,1000000,20251006_022515
73,1,8.200000000000006,0.12195121951219502,1.4425087108013924e-12,1.1828571428571428e-11,3.157513968556315e-08,0.002203277585215256,1.0065662862101696e-07,216.2066011428833,0.07,0.001,1000000,20251006_022851
74,1,8.300000000000006,0.12048192771084329,1.4251290877796891e-12,1.1828571428571428e-11,3.1635697727926905e-08,0.0022344240284420864,1.0065662862101696e-07,219.34587359428406,0.07,0.001,1000000,20251006_023231
75,1,8.400000000000006,0.11904761904761897,1.4081632653061214e-12,1.1828571428571428e-11,3.1598554543760974e-08,0.002258689775564386,1.0065662862101696e-07,219.06356525421143,0.07,0.001,1000000,20251006_023610
